Year,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2018,Proportion of children engaged in economic activity and household chores [8.7.1],,,Percent,15.29
2018,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,Percent,13.88
2018,Proportion of children engaged in economic activity and household chores [8.7.1],,Female,Percent,16.77
