Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Agriculture orientation index for government expenditures [2.a.1],,Percent,0.15
2019,Agriculture orientation index for government expenditures [2.a.1],,Percent,0.21
2022,Agriculture orientation index for government expenditures [2.a.1],,Percent,0.26
