Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
2016,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
2017,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
2018,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
2019,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
2020,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
2021,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
2022,Forest area as a proportion of total land area [15.1.1],,Percent,44.74
