Indicator
#1-2-1
#1-2-2
#1-3-1
#16-2-1
#16-9-1
#17-8-1
#2-2-1
#2-2-2
#3-2-1
#3-2-2
#3-7-1
#3-8-1
#3-b-1
#4-1-1
#4-2-1
#4-2-2
#4-4-1
#4-5-1
#5-3-1
#5-b-1
#6-1-1
#6-2-1
#7-1-1
#7-1-2
#8-5-2
#8-6-1
