Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,SH_SAN_HNDWSH,,PT,72.5
2019,SH_SAN_HNDWSH,,PT,80.7
2019,SH_SAN_HNDWSH,NP1,PT,84.6
2019,SH_SAN_HNDWSH,NP2,PT,79.3
2019,SH_SAN_HNDWSH,NP3,PT,88.2
2019,SH_SAN_HNDWSH,NP4,PT,88.1
2019,SH_SAN_HNDWSH,NP5,PT,84.6
2019,SH_SAN_HNDWSH,NP6,PT,55.2
2019,SH_SAN_HNDWSH,NP7,PT,57.6
2014,SH_SAN_SAFE,,PT,71.6
2019,SH_SAN_SAFE,,PT,94.5
2019,SH_SAN_SAFE,NP1,PT,96.6
2019,SH_SAN_SAFE,NP2,PT,84.1
2019,SH_SAN_SAFE,NP3,PT,98.3
2019,SH_SAN_SAFE,NP4,PT,99.0
2019,SH_SAN_SAFE,NP5,PT,95.3
2019,SH_SAN_SAFE,NP6,PT,94.9
2019,SH_SAN_SAFE,NP7,PT,96.6
2014,_L_NP_06_02_01_1,,PT,60.1
2019,_L_NP_06_02_01_1,,PT,79.2
2019,_L_NP_06_02_01_1,NP1,PT,85.8
2019,_L_NP_06_02_01_1,NP2,PT,73.3
2019,_L_NP_06_02_01_1,NP3,PT,70.8
2019,_L_NP_06_02_01_1,NP4,PT,82.7
2019,_L_NP_06_02_01_1,NP5,PT,83.4
2019,_L_NP_06_02_01_1,NP6,PT,86.2
2019,_L_NP_06_02_01_1,NP7,PT,85.2
2019,_L_NP_06_02_01_2,,PT,92.7
2019,_L_NP_06_02_01_2,NP1,PT,95.3
2019,_L_NP_06_02_01_2,NP2,PT,93.4
2019,_L_NP_06_02_01_2,NP3,PT,88.9
2019,_L_NP_06_02_01_2,NP4,PT,94.4
2019,_L_NP_06_02_01_2,NP5,PT,90.8
2019,_L_NP_06_02_01_2,NP6,PT,95.4
2019,_L_NP_06_02_01_2,NP7,PT,93.9
2019,_L_NP_06_02_01_3,,PT,2.8
2019,_L_NP_06_02_01_3,NP1,PT,2.9
2019,_L_NP_06_02_01_3,NP2,PT,2.2
2019,_L_NP_06_02_01_3,NP3,PT,3.7
2019,_L_NP_06_02_01_3,NP4,PT,2.1
2019,_L_NP_06_02_01_3,NP5,PT,4.0
2019,_L_NP_06_02_01_3,NP6,PT,0.3
2019,_L_NP_06_02_01_3,NP7,PT,1.0
