Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_MED_DEN,,PER_1000_POP,1.05
2018,SH_MED_DEN,,PER_1000_POP,4.45
2019,SH_MED_DEN,,PER_1000_POP,6.0
2020,SH_MED_DEN,,PER_1000_POP,4.45
2022,SH_MED_DEN,,PER_1000_POP,4.45
