Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_HLF_EMED,,PT,70
2018,SH_HLF_EMED,,PT,95
2019,SH_HLF_EMED,,PT,95
2020,SH_HLF_EMED,,PT,100
2022,SH_HLF_EMED,,PT,100
