Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_IHR_CAPPRD,,NUMBER,77
2018,SH_IHR_CAPPRD,,NUMBER,82
2019,SH_IHR_CAPPRD,,NUMBER,85
2020,SH_IHR_CAPPRD,,NUMBER,90
2022,SH_IHR_CAPPRD,,NUMBER,95
