Year,SERIES,Reference area,UNIT_MEASURE,Value
2014,Proportion of population with access to electricity [7.1.1],,Percent,84.9
2019,Proportion of population with access to electricity [7.1.1],,Percent,89.9
2019,Proportion of population with access to electricity [7.1.1],Province 1,Percent,88.5
2019,Proportion of population with access to electricity [7.1.1],Madhesh,Percent,96.3
2019,Proportion of population with access to electricity [7.1.1],Bagmati,Percent,97.4
2019,Proportion of population with access to electricity [7.1.1],Gandaki,Percent,98.9
2019,Proportion of population with access to electricity [7.1.1],Lumbini,Percent,90.8
2019,Proportion of population with access to electricity [7.1.1],Karnali,Percent,44.9
2019,Proportion of population with access to electricity [7.1.1],Sudurpashchim,Percent,77.1
