Year,Value,UNIT_MEASURE,SERIES
2015,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2016,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2017,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2018,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2019,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2020,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2021,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
2022,23.39,Percent,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2]
