Year,Value,UNIT_MEASURE,SERIES
2015,0.15,Percent,Agriculture orientation index for government expenditures [2.a.1]
2019,0.21,Percent,Agriculture orientation index for government expenditures [2.a.1]
2022,0.26,Percent,Agriculture orientation index for government expenditures [2.a.1]
