Year,Value,UNIT_MEASURE,SERIES
1996,30.9,Percent,Proportion of population living below the national poverty line [1.2.1]
2004,41.8,Percent,Proportion of population living below the national poverty line [1.2.1]
2010,25.2,Percent,Proportion of population living below the national poverty line [1.2.1]
