Year,Value,UNIT_MEASURE,SERIES
2014,50.7,Percent,Participation rate in organized learning (one year before the official primary entry age) [4.2.2]
2019,82.9,Percent,Participation rate in organized learning (one year before the official primary entry age) [4.2.2]
