Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,DC_TOF_HLTHNT,,PT,12.7
2018,DC_TOF_HLTHNT,,PT,14.5
2019,DC_TOF_HLTHNT,,PT,16.0
2020,DC_TOF_HLTHNT,,PT,18.0
2022,DC_TOF_HLTHNT,,PT,20.0
