Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2018,SL_ISV_IFEM,,,PT,84.6
2018,SL_ISV_IFEM,,M,PT,81.1
2018,SL_ISV_IFEM,,F,PT,90.5
