Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_PRV_SMOK,,PT,30.8
2018,SH_PRV_SMOK,,PT,26.18
2019,SH_PRV_SMOK,,PT,24.332
2020,SH_PRV_SMOK,,PT,21.56
2022,SH_PRV_SMOK,,PT,15.092
