Year,Value,UNIT_MEASURE,SERIES
2014,71,PER_1000_POP,SP_DYN_ADKL
2019,63,PER_1000_POP,SP_DYN_ADKL
2022,51,PER_1000_POP,SP_DYN_ADKL
