Year,Value,UNIT_MEASURE,SERIES
2015,70,PT,SH_HLF_EMED
2018,95,PT,SH_HLF_EMED
2019,95,PT,SH_HLF_EMED
2020,100,PT,SH_HLF_EMED
2022,100,PT,SH_HLF_EMED
