Year,Value,UNIT_MEASURE,SERIES
2015,12.7,PT,DC_TOF_HLTHNT
2018,14.5,PT,DC_TOF_HLTHNT
2019,16.0,PT,DC_TOF_HLTHNT
2020,18.0,PT,DC_TOF_HLTHNT
2022,20.0,PT,DC_TOF_HLTHNT
