Year,Value,UNIT_MEASURE,SERIES
2014,72.5,PT,SH_SAN_HNDWSH
2019,80.7,PT,SH_SAN_HNDWSH
2014,71.6,PT,SH_SAN_SAFE
2019,94.5,PT,SH_SAN_SAFE
2014,60.1,PT,_L_NP_06_02_01_1
2019,79.2,PT,_L_NP_06_02_01_1
2019,92.7,PT,_L_NP_06_02_01_2
2019,2.8,PT,_L_NP_06_02_01_3
