Year,Value,UNIT_MEASURE,SERIES
2015,1.05,PER_1000_POP,SH_MED_DEN
2018,4.45,PER_1000_POP,SH_MED_DEN
2019,6.0,PER_1000_POP,SH_MED_DEN
2020,4.45,PER_1000_POP,SH_MED_DEN
2022,4.45,PER_1000_POP,SH_MED_DEN
