Year,Value,UNIT_MEASURE,SERIES
2015,37.7,PER_100000_POP,SH_STA_WASH
2018,35.09,PER_100000_POP,SH_STA_WASH
2019,33.35,PER_100000_POP,SH_STA_WASH
2020,30.74,PER_100000_POP,SH_STA_WASH
2022,26.39,PER_100000_POP,SH_STA_WASH
