Year,Value,UNIT_MEASURE,SERIES
2015,2.8,PT,SH_DTH_NCOM
2018,2.34,PT,SH_DTH_NCOM
2019,2.35,PT,SH_DTH_NCOM
2020,2.15,PT,SH_DTH_NCOM
2022,1.96,PT,SH_DTH_NCOM
