Year,Value,UNIT_MEASURE,SERIES
2015,30.8,PT,SH_PRV_SMOK
2018,26.18,PT,SH_PRV_SMOK
2019,24.332,PT,SH_PRV_SMOK
2020,21.56,PT,SH_PRV_SMOK
2022,15.092,PT,SH_PRV_SMOK
