Year,Value,UNIT_MEASURE,SERIES
2015,1090,PT,SH_STA_SCIDE
2016,1186,PT,SH_STA_SCIDE
2017,1215,PT,SH_STA_SCIDE
2018,1363,PT,SH_STA_SCIDE
