Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2018,SL_EMP_EARN,,,NUMBER,17809
2018,SL_EMP_EARN,,M,NUMBER,19464
2018,SL_EMP_EARN,,F,NUMBER,13630
