Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
2016,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
2017,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
2018,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
2019,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
2020,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
2021,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
2022,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,Percent,23.39
