Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2019,AG_PRD_FIESMS,,PT,42.8
2021,AG_PRD_FIESMS,,PT,57.0
2022,AG_PRD_FIESMS,,PT,66.0
