Year,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,,Percent,84.6
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Male,Percent,81.1
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates) [8.3.1]",,Female,Percent,90.5
